"","Authors","Title","Published.Year","Published.Month","Journal","Volume","Issue","Pages","DOI","Abstract"
"178","Godio, A.; Pace, F.; Vergnano, A.","SEIR Modeling of the Italian Epidemic of SARS-CoV-2 Using Computational Swarm Intelligence",2020,"18-May","Int J Environ Res Public Health",17,"10","","10.3390/ijerph17103535","We applied a generalized SEIR epidemiological model to the recent SARS-CoV-2 outbreak in the world, with a focus on Italy and its Lombardy, Piedmont, and Veneto regions. We focused on the application of a stochastic approach in fitting the model parameters using a Particle Swarm Optimization (PSO) solver, to improve the reliability of predictions in the medium term (30 days). We analyzed the official data and the predicted evolution of the epidemic in the Italian regions, and we compared the results with the data and predictions of Spain and South Korea. We linked the model equations to the changes in people's mobility, with reference to Google's COVID-19 Community Mobility Reports. We discussed the effectiveness of policies taken by different regions and countries and how they have an impact on past and future infection scenarios."
"179","Zeng, C.; Zhang, J.; Li, Z.; Sun, X.; Olatosi, B.; Weissman, S.; Li, X.","Spatial-Temporal Relationship Between Population Mobility and COVID-19 Outbreaks in South Carolina: Time Series Forecasting Analysis",2021,"13-Apr","J Med Internet Res",23,"4","e27045","10.2196/27045","BACKGROUND: Population mobility is closely associated with COVID-19 transmission, and it could be used as a proximal indicator to predict future outbreaks, which could inform proactive nonpharmaceutical interventions for disease control. South Carolina is one of the US states that reopened early, following which it experienced a sharp increase in COVID-19 cases. OBJECTIVE: The aims of this study are to examine the spatial-temporal relationship between population mobility and COVID-19 outbreaks and use population mobility data to predict daily new cases at both the state and county level in South Carolina. METHODS: This longitudinal study used disease surveillance data and Twitter-based population mobility data from March 6 to November 11, 2020, in South Carolina and its five counties with the largest number of cumulative confirmed COVID-19 cases. Population mobility was assessed based on the number of Twitter users with a travel distance greater than 0.5 miles. A Poisson count time series model was employed for COVID-19 forecasting. RESULTS: Population mobility was positively associated with state-level daily COVID-19 incidence as well as incidence in the top five counties (ie, Charleston, Greenville, Horry, Spartanburg, and Richland). At the state level, the final model with a time window within the last 7 days had the smallest prediction error, and the prediction accuracy was as high as 98.7%, 90.9%, and 81.6% for the next 3, 7, and 14 days, respectively. Among Charleston, Greenville, Horry, Spartanburg, and Richland counties, the best predictive models were established based on their observations in the last 9, 14, 28, 20, and 9 days, respectively. The 14-day prediction accuracy ranged from 60.3%-74.5%. CONCLUSIONS: Using Twitter-based population mobility data could provide acceptable predictions of COVID-19 daily new cases at both the state and county level in South Carolina. Population mobility measured via social media data could inform proactive measures and resource relocations to curb disease outbreaks and their negative influences."
"180","Li, B.; Ma, L.","JUE Insight: Migration, Transportation Infrastructure, and the Spatial Transmission of COVID-19 in China",2021,"15-Apr","J Urban Econ",NA,"","103351","10.1016/j.jue.2021.103351","This paper evaluates the impacts of migration flows and transportation infrastructure on the spatial transmission of COVID-19 in China. Prefectures with larger bilateral migration flows and shorter travel distances with Hubei, the epicenter of the outbreak, experienced a wider spread of COVID-19. In addition, richer prefectures with higher incomes were better able to contain the virus at the early stages of community transmission. Using a spatial general equilibrium model, we show that around 28% of the infections outside Hubei province can be explained by the rapid development in transportation infrastructure and the liberalization of migration restrictions in the recent decade."
"181","Bassolas, A.; Sousa, S.; Nicosia, V.","Diffusion segregation and the disproportionate incidence of COVID-19 in African American communities",2021,"Jan","J R Soc Interface",18,"174","20200961","10.1098/rsif.2020.0961","One of the most concerning aspects of the ongoing COVID-19 pandemic is that it disproportionately affects people from some specific ethnic and socio-economic minorities. In particular, since from the beginning of the pandemic it has been clear that people from Black and African American backgrounds seem to be hit especially hard by the virus, creating a substantial infection gap. The observed abnormal impact on these ethnic groups could probably be due to the co-occurrence of other known risk factors, including co-morbidity, poverty, level of education, access to healthcare, residential segregation and response to cures, although those factors do not seem able to explain fully and in depth the excess incidence of infections and deaths among African Americans. Here, we introduce the concept of diffusion segregation, that is the extent to which a given group of people is internally clustered or exposed to other groups, as a result of mobility and commuting habits. By analysing census and mobility data on major US cities, we found that the weekly excess COVID-19 incidence and mortality in African American communities at the beginning of the COVID-19 pandemic is significantly associated with their level of diffusion segregation. The results confirm that knowing where people commute to, rather than where they live, is potentially much more important to contain and curb the spreading of infectious diseases."
"182","Nielsen, F.; Marti, G.; Ray, S.; Pyne, S.","Clustering Patterns Connecting COVID-19 Dynamics and Human Mobility Using Optimal Transport",2021,"16-Mar","Sankhya B (2008)",NA,"","18-Jan","10.1007/s13571-021-00255-0","Social distancing and stay-at-home are among the few measures that are known to be effective in checking the spread of a pandemic such as COVID-19 in a given population. The patterns of dependency between such measures and their effects on disease incidence may vary dynamically and across different populations. We described a new computational framework to measure and compare the temporal relationships between human mobility and new cases of COVID-19 across more than 150 cities of the United States with relatively high incidence of the disease. We used a novel application of Optimal Transport for computing the distance between the normalized patterns induced by bivariate time series for each pair of cities. Thus, we identified 10 clusters of cities with similar temporal dependencies, and computed the Wasserstein barycenter to describe the overall dynamic pattern for each cluster. Finally, we used city-specific socioeconomic covariates to analyze the composition of each cluster."
"183","Wei, Y.; Wang, J.; Song, W.; Xiu, C.; Ma, L.; Pei, T.","Spread of COVID-19 in China: analysis from a city-based epidemic and mobility model",2021,"Mar","Cities",110,"","103010","10.1016/j.cities.2020.103010","Understanding the processes and mechanisms of the spatial spread of epidemics is essential for making reasonable judgments on the development trends of epidemics and for adopting effective containment measures. Using multi-agent network technology and big data on population migration, this paper constructed a city-based epidemic and mobility model (CEMM) to stimulate the spatiotemporal of COVID-19. Compared with traditional models, this model is characterized by an urban network perspective and emphasizes the important role of intercity population mobility and high-speed transportation networks. The results show that the model could simulate the inter-city spread of COVID-19 at the early stage in China with high precision. Through scenario simulation, the paper quantitatively evaluated the effect of control measures ""city lockdown"" and ""decreasing population mobility"" on containing the spatial spread of the COVID-19 epidemic. According to the simulation, the total number of infectious cases in China would have climbed to 138,824 on February 2020, or 4.46 times the real number, if neither of the measures had been implemented. Overall, the containment effect of the lockdown of cities in Hubei was greater than that of decreasing intercity population mobility, and the effect of city lockdowns was more sensitive to timing relative to decreasing population mobility."
"184","Gatto, M.; Bertuzzo, E.; Mari, L.; Miccoli, S.; Carraro, L.; Casagrandi, R.; Rinaldo, A.","Spread and dynamics of the COVID-19 epidemic in Italy: Effects of emergency containment measures",2020,"12-May","Proc Natl Acad Sci U S A",117,"19","10484-10491","10.1073/pnas.2004978117","The spread of coronavirus disease 2019 (COVID-19) in Italy prompted drastic measures for transmission containment. We examine the effects of these interventions, based on modeling of the unfolding epidemic. We test modeling options of the spatially explicit type, suggested by the wave of infections spreading from the initial foci to the rest of Italy. We estimate parameters of a metacommunity Susceptible-Exposed-Infected-Recovered (SEIR)-like transmission model that includes a network of 107 provinces connected by mobility at high resolution, and the critical contribution of presymptomatic and asymptomatic transmission. We estimate a generalized reproduction number ([Formula: see text] = 3.60 [3.49 to 3.84]), the spectral radius of a suitable next-generation matrix that measures the potential spread in the absence of containment interventions. The model includes the implementation of progressive restrictions after the first case confirmed in Italy (February 21, 2020) and runs until March 25, 2020. We account for uncertainty in epidemiological reporting, and time dependence of human mobility matrices and awareness-dependent exposure probabilities. We draw scenarios of different containment measures and their impact. Results suggest that the sequence of restrictions posed to mobility and human-to-human interactions have reduced transmission by 45% (42 to 49%). Averted hospitalizations are measured by running scenarios obtained by selectively relaxing the imposed restrictions and total about 200,000 individuals (as of March 25, 2020). Although a number of assumptions need to be reexamined, like age structure in social mixing patterns and in the distribution of mobility, hospitalization, and fatality, we conclude that verifiable evidence exists to support the planning of emergency measures."
"185","Wells, C. R.; Sah, P.; Moghadas, S. M.; Pandey, A.; Shoukat, A.; Wang, Y.; Wang, Z.; Meyers, L. A.; Singer, B. H.; Galvani, A. P.","Impact of international travel and border control measures on the global spread of the novel 2019 coronavirus outbreak",2020,"31-Mar","Proc Natl Acad Sci U S A",117,"13","7504-7509","10.1073/pnas.2002616117","The novel coronavirus outbreak (COVID-19) in mainland China has rapidly spread across the globe. Within 2 mo since the outbreak was first reported on December 31, 2019, a total of 566 Severe Acute Respiratory Syndrome (SARS CoV-2) cases have been confirmed in 26 other countries. Travel restrictions and border control measures have been enforced in China and other countries to limit the spread of the outbreak. We estimate the impact of these control measures and investigate the role of the airport travel network on the global spread of the COVID-19 outbreak. Our results show that the daily risk of exporting at least a single SARS CoV-2 case from mainland China via international travel exceeded 95% on January 13, 2020. We found that 779 cases (95% CI: 632 to 967) would have been exported by February 15, 2020 without any border or travel restrictions and that the travel lockdowns enforced by the Chinese government averted 70.5% (95% CI: 68.8 to 72.0%) of these cases. In addition, during the first three and a half weeks of implementation, the travel restrictions decreased the daily rate of exportation by 81.3% (95% CI: 80.5 to 82.1%), on average. At this early stage of the epidemic, reduction in the rate of exportation could delay the importation of cases into cities unaffected by the COVID-19 outbreak, buying time to coordinate an appropriate public health response."
"186","Kurita, J.; Sugishita, Y.; Sugawara, T.; Ohkusa, Y.","Evaluating Apple Inc Mobility Trend Data Related to the COVID-19 Outbreak in Japan: Statistical Analysis",2021,"15-Feb","JMIR Public Health Surveill",7,"2","e20335","10.2196/20335","BACKGROUND: In Japan, as a countermeasure against the COVID-19 outbreak, both the national and local governments issued voluntary restrictions against going out from residences at the end of March 2020 in preference to the lockdowns instituted in European and North American countries. The effect of such measures can be studied with mobility data, such as data which is generated by counting the number of requests made to Apple Maps for directions in select countries/regions, sub-regions, and cities. OBJECTIVE: We investigate the associations of mobility data provided by Apple Inc and an estimate an an effective reproduction number R(t). METHODS: We regressed R(t) on a polynomial function of daily Apple data, estimated using the whole period, and analyzed subperiods delimited by March 10, 2020. RESULTS: In the estimation results, R(t) was 1.72 when voluntary restrictions against going out ceased and mobility reverted to a normal level. However, the critical level of reducing R(t) to <1 was obtained at 89.3% of normal mobility. CONCLUSIONS: We demonstrated that Apple mobility data are useful for short-term prediction of R(t). The results indicate that the number of trips should decrease by 10% until herd immunity is achieved and that higher voluntary restrictions against going out might not be necessary for avoiding a re-emergence of the outbreak."
"187","Walker, M. D.; Sulyok, M.","The Relationship between Mobility and COVID-19 in Germany: Modeling Case Occurrence using Apple's Mobility Trends Data",2021,"26-Mar","Methods Inf Med",NA,"","","10.1055/s-0041-1726276","BACKGROUND: ‚ÄÉRestrictions on social interaction and movement were implemented by the German government in March 2020 to reduce the transmission of coronavirus disease 2019 (COVID-19). Apple's ""Mobility Trends"" (AMT) data details levels of community mobility; it is a novel resource of potential use to epidemiologists. OBJECTIVE: ‚ÄÉThe aim of the study is to use AMT data to examine the relationship between mobility and COVID-19 case occurrence for Germany. Is a change in mobility apparent following COVID-19 and the implementation of social restrictions? Is there a relationship between mobility and COVID-19 occurrence in Germany? METHODS: ‚ÄÉAMT data illustrates mobility levels throughout the epidemic, allowing the relationship between mobility and disease to be examined. Generalized additive models (GAMs) were established for Germany, with mobility categories, and date, as explanatory variables, and case numbers as response. RESULTS: ‚ÄÉClear reductions in mobility occurred following the implementation of movement restrictions. There was a negative correlation between mobility and confirmed case numbers. GAM using all three categories of mobility data accounted for case occurrence as well and was favorable (AIC or Akaike Information Criterion: 2504) to models using categories separately (AIC with ""driving,"" 2511. ""transit,"" 2513. ""walking,"" 2508). CONCLUSION: ‚ÄÉThese results suggest an association between mobility and case occurrence. Further examination of the relationship between movement restrictions and COVID-19 transmission may be pertinent. The study shows how new sources of online data can be used to investigate problems in epidemiology."
"188","Zachreson, C.; Mitchell, L.; Lydeamore, M. J.; Rebuli, N.; Tomko, M.; Geard, N.","Risk mapping for COVID-19 outbreaks in Australia using mobility data",2021,"Jan","J R Soc Interface",18,"174","20200657","10.1098/rsif.2020.0657","COVID-19 is highly transmissible and containing outbreaks requires a rapid and effective response. Because infection may be spread by people who are pre-symptomatic or asymptomatic, substantial undetected transmission is likely to occur before clinical cases are diagnosed. Thus, when outbreaks occur there is a need to anticipate which populations and locations are at heightened risk of exposure. In this work, we evaluate the utility of aggregate human mobility data for estimating the geographical distribution of transmission risk. We present a simple procedure for producing spatial transmission risk assessments from near-real-time population mobility data. We validate our estimates against three well-documented COVID-19 outbreaks in Australia. Two of these were well-defined transmission clusters and one was a community transmission scenario. Our results indicate that mobility data can be a good predictor of geographical patterns of exposure risk from transmission centres, particularly in outbreaks involving workplaces or other environments associated with habitual travel patterns. For community transmission scenarios, our results demonstrate that mobility data add the most value to risk predictions when case counts are low and spatially clustered. Our method could assist health systems in the allocation of testing resources, and potentially guide the implementation of geographically targeted restrictions on movement and social interaction."
"189","Saha, J.; Chouhan, P.","Lockdown and unlock for the COVID-19 pandemic and associated residential mobility in India",2021,"Mar","Int J Infect Dis",104,"","382-389","10.1016/j.ijid.2020.11.187","BACKGROUND: As an outcome of the Coronavirus 2019 (COVID-19) pandemic, the countrywide lockdown and unlock periods altered residential mobility trends in India. The aim of this study was to investigate the impact of the COVID-19 lockdown and unlock periods on residential mobility trends, using the spatial time-series daily changes across the different states and union territories of India. DATA AND METHODS: This study was based on time-series data of the daily percentage change in residential mobility from baseline in India. Conditional formatting techniques, box plotting, time-series trends plotting methods, and spatial kriging interpolation mapping techniques were employed to show residential mobility trends. RESULTS: Increases in residential mobility of approximately 31.5%, 30.8%, 26.2%, 23%, 17.6%, and 18.2% from the pre-lockdown period were observed during lockdown phase 1, phase 2, phase 3, and phase 4, unlock 1.0, and unlock 2.0, respectively, in India. This was due to people moving towards home or their place of residence during the COVID-19 pandemic in India. From the time lockdown was initiated up until July 31, 2020, residential mobility increased the least in the north-eastern states of India and also the eastern and extreme northern states of India. CONCLUSIONS: The results of this study could be used in public health strategies towards decreasing the spread of COVID-19."
"190","Cazelles, B.; Comiskey, C.; Nguyen-Van-Yen, B.; Champagne, C.; Roche, B.","Parallel trends in the transmission of SARS-CoV-2 and retail/recreation and public transport mobility during non-lockdown periods",2021,"Mar","Int J Infect Dis",104,"","693-695","10.1016/j.ijid.2021.01.067","Recent literature strongly supports the hypothesis that mobility restriction and social distancing play a crucial role in limiting the transmission of severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). During the first wave of the coronavirus disease 2019 (COVID-19) pandemic, it was shown that mobility restriction reduced transmission significantly. This study found that, in the period between the first two waves of the COVID-19 pandemic, there was high positive correlation between trends in the transmission of SARS-CoV-2 and mobility. These two trends oscillated simultaneously, and increased mobility following the relaxation of lockdown rules was significantly associated with increased transmission. From a public health perspective, these results highlight the importance of tracking changes in mobility when relaxing mitigation measures in order to anticipate future changes in the spread of SARS-CoV-2."
"191","Chin, W. C. B.; Bouffanais, R.","Spatial super-spreaders and super-susceptibles in human movement networks",2020,"29-Oct","Sci Rep",10,"1","18642","10.1038/s41598-020-75697-z","As lockdowns and stay-at-home orders start to be lifted across the globe, governments are struggling to establish effective and practical guidelines to reopen their economies. In dense urban environments with people returning to work and public transportation resuming full capacity, enforcing strict social distancing measures will be extremely challenging, if not practically impossible. Governments are thus paying close attention to particular locations that may become the next cluster of disease spreading. Indeed, certain places, like some people, can be ""super-spreaders"". Is a bustling train station in a central business district more or less susceptible and vulnerable as compared to teeming bus interchanges in the suburbs? Here, we propose a quantitative and systematic framework to identify spatial super-spreaders and the novel concept of super-susceptibles, i.e. respectively, places most likely to contribute to disease spread or to people contracting it. Our proposed data-analytic framework is based on the daily-aggregated ridership data of public transport in Singapore. By constructing the directed and weighted human movement networks and integrating human flow intensity with two neighborhood diversity metrics, we are able to pinpoint super-spreader and super-susceptible locations. Our results reveal that most super-spreaders are also super-susceptibles and that counterintuitively, busy peripheral bus interchanges are riskier places than crowded central train stations. Our analysis is based on data from Singapore, but can be readily adapted and extended for any other major urban center. It therefore serves as a useful framework for devising targeted and cost-effective preventive measures for urban planning and epidemiological preparedness."
"192","Coelho, M. T. P.; Rodrigues, J. F. M.; Medina, A. M.; Scalco, P.; Terribile, L. C.; Vilela, B.; Diniz-Filho, J. A. F.; Dobrovolski, R.","Global expansion of COVID-19 pandemic is driven by population size and airport connections",2020,"","PeerJ",8,"","","10.7717/peerj.9708","The pandemic state of COVID-19 caused by the SARS CoV-2 put the world in quarantine, led to hundreds of thousands of deaths and is causing an unprecedented economic crisis. However, COVID-19 is spreading in different rates at different countries. Here, we tested the effect of three classes of predictors, i.e., socioeconomic, climatic and transport, on the rate of daily increase of COVID-19 on its exponential phase. We found that population size and global connections, represented by countries' importance in the global air transportation network, are the main explanations for the early growth rate of COVID-19 in different countries. Climate and socioeconomics had no significant effect in this big picture analysis. Our results indicate that the current claims that the growth rate of COVID-19 may be lower in warmer and humid countries should be taken very carefully, risking to disturb well-established and effective policy of social isolation that may help to avoid higher mortality rates due to the collapse of national health systems."
"193","Linka, K.; Peirlinck, M.; Kuhl, E.","The reproduction number of COVID-19 and its correlation with public health interventions",2020,"28-Jul","Comput Mech",NA,"","16-Jan","10.1007/s00466-020-01880-8","Throughout the past six months, no number has dominated the public media more persistently than the reproduction number of COVID-19. This powerful but simple concept is widely used by the public media, scientists, and political decision makers to explain and justify political strategies to control the COVID-19 pandemic. Here we explore the effectiveness of political interventions using the reproduction number of COVID-19 across Europe. We propose a dynamic SEIR epidemiology model with a time-varying reproduction number, which we identify using machine learning. During the early outbreak, the basic reproduction number was 4.22 ¬± 1.69, with maximum values of 6.33 and 5.88 in Germany and the Netherlands. By May 10, 2020, it dropped to 0.67 ¬± 0.18, with minimum values of 0.37 and 0.28 in Hungary and Slovakia. We found a strong correlation between passenger air travel, driving, walking, and transit mobility and the effective reproduction number with a time delay of 17.24 ¬± 2.00 days. Our new dynamic SEIR model provides the flexibility to simulate various outbreak control and exit strategies to inform political decision making and identify safe solutions in the benefit of global health."
"194","Candido, D. D. S.; Watts, A.; Abade, L.; Kraemer, M. U. G.; Pybus, O. G.; Croda, J.; de Oliveira, W.; Khan, K.; Sabino, E. C.; Faria, N. R.","Routes for COVID-19 importation in Brazil",2020,"18-May","J Travel Med",27,"3","","10.1093/jtm/taaa042","The global outbreak caused by the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has been declared a pandemic by the World Health Organization. As the number of imported SARS-CoV-2 cases is on the rise in Brazil, we use incidence and historical air travel data to estimate the most important routes of importation into the country."
"195","Parker, C.; Mejia, J.; Pestilli, F.","The Spread of COVID-19 Increases With Individual Mobility and Depends on Political Leaning",2021,"4-Feb","Res Sq",NA,"","","10.21203/rs.3.rs-147801/v1","The implementation of social distancing policies is key to reducing the impact of the current COVID-19 pandemic. However, their effectiveness ultimately depends on human behavior. In the United States, compliance with social distancing policies has widely varied thus far during the pandemic. But what drives such variability? Through six open datasets, including actual human mobility, we estimated the association between mobility and the growth rate of COVID-19 cases across 3,107 U.S. counties, generalizing previous reports. In addition, data from the 2016 U.S. presidential election was used to measure how the association between mobility and COVID-19 growth rate differed based on voting patterns. A significant association between political leaning and the COVID-19 growth rate was measured. Our results demonstrate that political orientation may inform models predicting the impact of policies in reducing the spread of COVID-19."
"196","Russell, T. W.; Wu, J. T.; Clifford, S.; Edmunds, W. J.; Kucharski, A. J.; Jit, M.","Effect of internationally imported cases on internal spread of COVID-19: a mathematical modelling study",2021,"Jan","Lancet Public Health",6,"1","e12-e20","10.1016/s2468-2667(20)30263-2","BACKGROUND: Countries have restricted international arrivals to delay the spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). These measures carry a high economic and social cost, and might have little effect on COVID-19 epidemics if there are many more cases resulting from local transmission compared with imported cases. Our study aims to investigate the extent to which imported cases contribute to local transmission under different epidemic conditions. METHODS: To inform decisions about international travel restrictions, we calculated the ratio of expected COVID-19 cases from international travel (assuming no travel restrictions) to expected cases arising from internal spread, expressed as a proportion, on an average day in May and September, 2020, in each country. COVID-19 prevalence and incidence were estimated using a modelling framework that adjusts reported cases for under-ascertainment and asymptomatic infections. We considered different travel scenarios for May and September, 2020: an upper bound with estimated travel volumes at the same levels as May and September, 2019, and a lower bound with estimated travel volumes adjusted downwards according to expected reductions in May and September, 2020. Results were interpreted in the context of local epidemic growth rates. FINDINGS: In May, 2020, imported cases are likely to have accounted for a high proportion of total incidence in many countries, contributing more than 10% of total incidence in 102 (95% credible interval 63-129) of 136 countries when assuming no reduction in travel volumes (ie, with 2019 travel volumes) and in 74 countries (33-114) when assuming estimated 2020 travel volumes. Imported cases in September, 2020, would have accounted for no more than 10% of total incidence in 106 (50-140) of 162 countries and less than 1% in 21 countries (4-71) when assuming no reductions in travel volumes. With estimated 2020 travel volumes, imported cases in September, 2020, accounted for no more than 10% of total incidence in 125 countries (65-162) and less than 1% in 44 countries (8-97). Of these 44 countries, 22 (2-61) had epidemic growth rates far from the tipping point of exponential growth, making them the least likely to benefit from travel restrictions. INTERPRETATION: Countries can expect travellers infected with SARS-CoV-2 to arrive in the absence of travel restrictions. Although such restrictions probably contribute to epidemic control in many countries, in others, imported cases are likely to contribute little to local COVID-19 epidemics. Stringent travel restrictions might have little impact on epidemic dynamics except in countries with low COVID-19 incidence and large numbers of arrivals from other countries, or where epidemics are close to tipping points for exponential growth. Countries should consider local COVID-19 incidence, local epidemic growth, and travel volumes before implementing such restrictions. FUNDING: Wellcome Trust, UK Foreign, Commonwealth & Development Office, European Commission, National Institute for Health Research, Medical Research Council, and Bill & Melinda Gates Foundation."
"197","Truong, D.; Truong, M. D.","Projecting daily travel behavior by distance during the pandemic and the spread of COVID-19 infections - Are we in a closed loop scenario?",2021,"Mar","Transp Res Interdiscip Perspect",9,"","100283","10.1016/j.trip.2020.100283","Understanding the future development of COVID-19 is the key to contain the spreading of the coronavirus. The purpose of this paper is to explore a potential relationship between United States residents' daily trips by distance and the COVID-19 infections in the near future. The study used the daily travel data from the Bureau of Transportation Statistics (BTS) and the COVID-19 data from the Centers for Disease Control and Prevention (CDC) in the United States. Time-series forecast models using Autoregressive Moving Average (ARIMA) method were constructed to project future trends of United States residents' daily trips by distance at the national level from November 30, 2020, to February 28, 2021. A comparative trend analysis was conducted to detect the patterns of daily trips and the spread of COVID-19 during that period. The results revealed a closed loop scenario, in which the residents' travel behavior dynamically changes based on their risk perception of COVID-19 in an infinite loop. A detected lag in the travel behavior between short trips and long trips further worsens the situation and creates more difficulties in finding an effective solution to break the loop. The study shed new light on efforts to contain and control the spread of the coronavirus. The loop can only be broken with proper and prompt mitigation strategies to reduce the burden on hospitals and healthcare systems and save more lives."
"198","Li, Y.; Li, M.; Rice, M.; Zhang, H.; Sha, D.; Li, M.; Su, Y.; Yang, C.","The Impact of Policy Measures on Human Mobility, COVID-19 Cases, and Mortality in the US: A Spatiotemporal Perspective",2021,"23-Jan","Int J Environ Res Public Health",18,"3","","10.3390/ijerph18030996","Social distancing policies have been regarded as effective in containing the rapid spread of COVID-19. However, there is a limited understanding of policy effectiveness from a spatiotemporal perspective. This study integrates geographical, demographical, and other key factors into a regression-based event study framework, to assess the effectiveness of seven major policies on human mobility and COVID-19 case growth rates, with a spatiotemporal emphasis. Our results demonstrate that stay-at-home orders, workplace closures, and public information campaigns were effective in decreasing the confirmed case growth rate. For stay-at-home orders and workplace closures, these changes were associated with significant decreases (p < 0.05) in mobility. Public information campaigns did not see these same mobility trends, but the growth rate still decreased significantly in all analysis periods (p < 0.01). Stay-at-home orders and international/national travel controls had limited mitigation effects on the death case growth rate (p < 0.1). The relationships between policies, mobility, and epidemiological metrics allowed us to evaluate the effectiveness of each policy and gave us insight into the spatiotemporal patterns and mechanisms by which these measures work. Our analysis will provide policymakers with better knowledge regarding the effectiveness of measures in space-time disaggregation."
"199","Kain, M. P.; Childs, M. L.; Becker, A. D.; Mordecai, E. A.","Chopping the tail: How preventing superspreading can help to maintain COVID-19 control",2021,"Mar","Epidemics",34,"","100430","10.1016/j.epidem.2020.100430","Disease transmission is notoriously heterogeneous, and SARS-CoV-2 is no exception. A skewed distribution where few individuals or events are responsible for the majority of transmission can result in explosive, superspreading events, which produce rapid and volatile epidemic dynamics, especially early or late in epidemics. Anticipating and preventing superspreading events can produce large reductions in overall transmission rates. Here, we present a stochastic compartmental (SEIR) epidemiological model framework for estimating transmission parameters from multiple imperfectly observed data streams, including reported cases, deaths, and mobile phone-based mobility that incorporates individual-level heterogeneity in transmission using previous estimates for SARS-CoV-1 and SARS-CoV-2. We parameterize the model for COVID-19 epidemic dynamics by estimating a time-varying transmission rate that incorporates the impact of non-pharmaceutical intervention strategies that change over time, in five epidemiologically distinct settings-Los Angeles and Santa Clara Counties, California; Seattle (King County), Washington; Atlanta (Dekalb and Fulton Counties), Georgia; and Miami (Miami-Dade County), Florida. We find that the effective reproduction number (R(E)) dropped below 1 rapidly in all five locations following social distancing orders in mid-March, 2020, but that gradually increasing mobility starting around mid-April led to an R(E) once again above 1 in late May (Los Angeles, Miami, and Atlanta) or early June (Santa Clara County and Seattle). However, we find that increased social distancing starting in mid-July in response to epidemic resurgence once again dropped R(E) below 1 in all locations by August 14. We next used the fitted model to ask: how does truncating the individual-level transmission rate distribution (which removes periods of time with especially high individual transmission rates and thus models superspreading events) affect epidemic dynamics and control? We find that interventions that truncate the transmission rate distribution while partially relaxing social distancing are broadly effective, with impacts on epidemic growth on par with the strongest population-wide social distancing observed in April, 2020. Given that social distancing interventions will be needed to maintain epidemic control until a vaccine becomes widely available, ""chopping off the tail"" to reduce the probability of superspreading events presents a promising option to alleviate the need for extreme general social distancing."
"200","Feyman, Y.; Bor, J.; Raifman, J.; Griffith, K. N.","Effectiveness of COVID-19 shelter-in-place orders varied by state",2020,"","PLoS One",15,"12","e0245008","10.1371/journal.pone.0245008","State ""shelter-in-place"" (SIP) orders limited the spread of COVID-19 in the U.S. However, impacts may have varied by state, creating opportunities to learn from states where SIPs have been effective. Using a novel dataset of state-level SIP order enactment and county-level mobility data form Google, we use a stratified regression discontinuity study design to examine the effect of SIPs in all states that implemented them. We find that SIP orders reduced mobility nationally by 12 percentage points (95% CI: -13.1 to -10.9), however the effects varied substantially across states, from -35 percentage points to +11 percentage points. Larger reductions were observed in states with higher incomes, higher population density, lower Black resident share, and lower 2016 vote shares for Donald J. Trump. This suggests that optimal public policies during a pandemic will vary by state and there is unlikely to be a ""one-size fits all"" approach that works best."
"201","Zhu, Y.; Xie, J.; Huang, F.; Cao, L.","The mediating effect of air quality on the association between human mobility and COVID-19 infection in China",2020,"Oct","Environ Res",189,"","109911","10.1016/j.envres.2020.109911","BACKGROUND: Previous studies have found that human mobility restrictions could not only prevent the spread of COVID-19, but also improve the air quality because of the reduction of industrial production, transportation and traffic. It is noteworthy that air quality is also closely related to the risk of COVID-19 infection. Therefore, we aimed to assess the mediating role of air quality on the association between human mobility and the infection caused by this novel coronavirus. METHODS: We collected daily confirmed cases, human mobility data, air quality data and meteorological variables in 120 cities from China between January 23, 2020 and February 29, 2020. We applied the generalized additive model to examine the association of human mobility index with COVID-19 confirmed cases, and to assess the mediating effects of air quality index and each pollutant. RESULTS: We observed a significant positive relationship between human mobility index and the daily counts of COVID-19 confirmed cases. A unit increase in human mobility index (lag0-14) was associated with a 6.45% increase in daily COVID-19 confirmed cases, and air quality index significantly mediated 19.47% of this association. We also observed a positive relationship between human mobility index and air quality index. In the pollutant level analyses, we found significant mediating effects of PM(2.5), PM(10), and NO(2). CONCLUSIONS: Our study suggests that limiting human movements could reduce COVID-19 cases by improving air quality besides decreasing social contact."
